comment_text,toxic,threat,obscene,identity_hate
This Muslim man does not have anything in mind of peace. He wants to stir up dissonance and trouble among Americans by using racist accusations . THAT IS HIS MAN GOAL.,1,0,0,1
"Add another imbecile to the bunch, reporter is a incompetent bastard",1,0,0,0
This interviewer is right. This guy should show some respect to the paramilitary police that are killing and getting away with it. Ha!,1,0,0,0
You all are some dumb as people,1,0,0,0
bassem I think walmart is hiring for the holidays. get a job loser!!!,1,0,0,0
Teen faces life in prison for pot brownies. 90 year old man gets arrested for feeding the poor. Police officer is set free with no charges whatsoever for killing a teenager. Don't you people see how wrong this is? ,0,0,0,0
"""you know what I'm sayin""... wow",0,0,0,0
"YEah  You are right 1 white shot a  black all hell break  lose , black shot black no protest maybe if they start doing  protest on black shotting black , you can buy in thier story ,",1,0,0,1
"Lets Steal from a convenience store then lets go and punch a cop in the face and get shot 6 times, then lets get all the black people and white apologists to run around the street setting buildings on fire, fucking dirty gutter rats all living on welfare and causing violence , just look where the rest of black people live... on the dirties Ebola plague ridden continent, lucky white countries can come over and cure their dumb asses.",1,0,0,1
I'm with this dude fuck the punk police ,1,0,1,0
What a stupid arab. Police shoot to apprehend? Lmao That's not how it works when they are being attacked!,1,0,0,1
5:09 plain n simple truth,0,0,0,0
Lmfao why is this dude taking like that??? -_\ I hear him talking but I don't know what he's saying!  Smh,0,0,0,0
"I do understand their anger, but war is not the answer!",0,0,0,0
Iz didn't do nuffinz!,0,0,0,0
"What an ignorant coward, full of emotion, estrogen and apathy. And where the hell did you come from? Fuckin racially ambiguous blackwashed loudmouth. They really chose a pathetic man to interview. ",1,0,0,1
"That motherfucker was angry,and I understand why",1,0,1,0
Let's get this straight and present the facts as the mass media should have from the beginning. 18 yr old (by all legal aspects an adult) robs a convince store. The criminal later flees the seen and is aprehended by the police. Resists arrest and altercation occurs between the two. The police (as in every case similar to this uses force). Criminal is killed. The killing goes to court. A randomly selected jury views all the evidence and hears out all witnesses which pertain to the case.  Radom jury reaches unanimous verdict of not guilty. Im sorry protestors I can't here over all this DEMOCRACY!,1,0,0,0
Do any of these protestors work for a living??  where do they get the (time) to do all this....,0,0,0,0
"If people would obey the law, like normal human beings. This would never happen. <- WINNER",0,0,0,0
No indictment...moving right along.,0,0,0,0
If you act like animals you get treated like animals,1,0,0,1
 Michael Smerconish + Hack. ,0,0,0,0
"Sure...they totally looked at FACTUAL evidence during that trial...

More like special treatment. BUT HEY, we all knew that was going to happen, didn't we?",1,0,0,0
You tellin me if he did in fact steal swisher sweets is the value of his life...Just admit you all are racist quit being a bunch of FAGGOTT bitches ,1,0,0,0
"Proof Blacks aren't victims:
1. Statistically Cops kill more whites than blacks, yet whites see them as necessary because they save more lives than they cost, while places like Ferguson lose their minds.
2. Statistically 93% of murdered blacks are killed by other blacks, with whites consisting of 3% of the murderers and 4% being the other races.
3. Whites were enslaved by blacks first, and for over 150 years. This was when Europeans(the same race that started America and later enslaved Africans) began searching North Africa to establish trade of goods between natives. From the 1520s to the late 1600s whites were enslaved first. Later the tables turned. This boys and girls is called 'Karma.'
4. Statistically over 50% of murders in the US alone are from Blacks, despite them making up only 14.1% of the entire US population, while despite whites make up 63% of the US population they only make up 46% of the murders.
5. Whites make up 38% of welfare recipients with blacks making up 39%. This doesn't seem extreme until you realize that 39%(blacks) consists of that 14.1%, whith that 38%(whites) making up 63% of the US. Meaning each individual black person is about 5 times as likely than whites to use welfare.",1,0,0,1
"White man can't finish his sentence
America needs to wake up!!the truth of murder is there!",1,0,0,1
I'll be sure to avoid getting in this guy's taxi cab.,0,0,0,0
"FUCK MEDIA 
Bassem was right find something real to investigate. You're just exaggerating because you want more views and more MONEY.

FUCK YOU SELFISH FUCKS

These people are DISGUSTING. I don't know how they bare with their NASTY selves.",1,0,1,0
CNN youse guys going too far I'll tell you what you doing so that bad is going to happen very bad it's all going to benefit you I don't care how much money you have Ellen and better for you to be like all the rest was be careful what you put out there you put Russia in between this be careful we have kids,0,0,0,0
this guy here he needs to grow up.,0,0,0,0
"Shoot to apprehend? Easier said than done.. When the evidence was presented, Michael brown was still attackin darren after he was shot twice.... People have this misconception, like in the movies, that one gun shot anywhere to the body, will disable an attacker. This is a false belief.. There are cases of people still attacking or running after they've been shot 2-3 times. For god sake, 50 cent was shot 9 times and he's alive... When you're being attacked by a 6 ft 3 200 somthing pound person, and you're on your back, it's hard to say I""m just goin to shoot to apprehend. Had michael brown copnducted himself like a gentleman, this wouldn't have happened. He was an aggresive piece of shit, and this muslim shit head isn't any better. He's filled with rage and doesn't have the answer for anything. Progression comes from tolerance not violence.",1,0,0,1
"It's not about just Brown, it's about daily killings of non-whites by white cops and that's a reality.",0,0,0,0
"How was this guy hired?
What an idiot",1,0,0,0
This guy is a moron.,1,0,0,0
Cnn...so out of touch..close up idiots.. people are watching for the comedy of reporting.lol,1,0,0,0
"Bassem Masri is a criminal, a thug and a psychopath. He has no credibility, and no humanity. He needs to be locked in a jail cell. Time for the rubber-room and straight-jacket for Bassem. Get his intellectually dishonest butt out of the community. ",1,0,1,0
CNN this is why you are a joke!,1,0,0,0
I wonder what the police expect will happen when they continually abuse and kill people  ? Do they honestly expect the public  to do nothing about it ? To just lay back and take it and let the cops just turn into one massive street gang who are allowed to kill without consequence? Even a rat when it's cornered will defend itself ..,1,0,0,0
"""I don't want my sons death to be in vain."" ""LET'S BURN THIS BITCH DOWN!"" Stupid fucks destroying livelihoods. Peaceful protests my fucking ass.",1,0,1,0
This guy is my hero.,0,0,0,0
"Did he say that the sound of him spitting is an ""Arab expression""?",0,0,0,0
Wow!!!,0,0,0,0
I think that this indecent is unessacerry for the event of one person being shot. Mr. Brown stole something so it wasn't intirely the police officers fault.,0,0,0,0
"This is a genuine failure of leadership by the President of the United States.  This nice town, Ferguson, should have been declared a state of emergency. It should have been put under martial law, federal troops should have stuffed the town, and non-residents should have been pushed out.  Everyone knew there was going to be another riot.  But...what did the President do?  He didn't want to offend the black community. He didn't want anyone else to get shot.  So he just let 'er burn baby burn.  Seems to me, that a real leader could have had it both ways.  Mr. President, sir, you have failed reprehensibly - and I do accuse you.﻿",1,0,0,0
"anyone know if they are irradiating commercial strawberry seeds, mine wont germinate ?",0,0,0,0
Arabs Hate black people. This ISIS sympathizer just wants to call it his community. Nonsense.,1,0,0,1
I can't for the life of me understand why people think that Mike Brown was a martyr for some cause. The man was a criminal. Are all black people criminals? Absolutely not. Are there white criminals? Hispanic criminals? You betcha. If the situation was EXACTLY the same but the races were reversed there would not be an issue at all.,1,0,0,1
Well done 👍,0,0,0,0
"Old mans way has been tried forever and how well did that worked,  look where we are now. ",0,0,0,0
"3:44
U no wat im sayin",0,0,0,0
Without that badge they a bitch and a half. So fuck the police!!,1,0,0,0
"THIS ARAB PIECE OF SHIT,,, ACTING LIKE HE GETS HARRASSED,, HE OR HIS PARENTS OWN A STORE AND YET HE ACTS LIKE HE GETS TREATED LIKE BLACK PEOPLE LOL... the same people who steals from his store,, what a moron piece of shit",1,0,1,1
"It's people like this guy that makes America shake it's head.

Nawamsain'?

No the fuck we don't.",0,0,0,0
"Police brutality affects everyone.  It's not just a black issue, and when they made it a ""black"" issue that's when people who aren't black tend to stop listening.  End racial profiling as if police don't fuck with everyone?  Police don't care WHAT color you are, if you aren't  a policeman they will fuck with you.  If you look on youtube you will notice the brutality doesn't discriminate.  

So stop it with this racial bullshit, because if you want cops to finally be held accountable for their powertripping actions, you need to realize that playing the whole ""because I'm black, and only black, and black"" card, makes people who aren't black feel less sympathetic because every race here has had issues with them.",1,0,1,0
CHRISTIANS ROCK!,0,0,0,0
The only good CNN anchor I have ever seen...,0,0,0,0
Islamic Terrorist insighting hatred and violence under the disguise of an african citizen its time that american citizens realise their true enemy is islam and not black or white people,1,0,0,1
Fuck CNN you corrupt demon worshiping fools,1,0,0,0
This guy is a dumbass. He claims that policed hired thugs took his phone and shot off rounds without any evidence to back his claims.,1,0,0,0
"Mike browns father does NOT buy into it....he got caught on video saying ""Burn the bitch down"" reffering to Ferguson................and this dude you are interviwing is just a thug and should not be given air time.............",1,0,0,0
"Brown isused as an excuse to loot take peoples shit and destroy neighborhoods , haaaa typical ghetto bullshit. Ya ain't even hood, ya just ghetto bitches collecting free rent from the govt while fighting the govt. same occupy Wall Street fagets have nothing else to do , go clean the highways !!!!!",1,0,0,1
WTF!! Isn't this the guy who got mugged for his iphone 6 in ferguson?? That video was hilarious!!,0,0,0,0
"*WHAT DOES TRAYVON MARTIN AND MICHAEL BROWN HAVE IN COMMON?*  
*THE REAL REASON BEHIND THE RIOTS THAT NO ONE DARE SPEAK OF.*

As with the Zimmerman case the common factors here are those race mongers like Al  Sharpton, CNN and MSNBC whipping up the black community to see racism where there is no racism and injustice where there is no injustice.

Give it a year or two and I can promise you, there WILL be another Zimmerman or Michael Brown style case.
 
*But the bigger question is WHY will there be a similar case?* 

Because rather than face the REAL  root cause of  many of the problems suffered by black Americans - poverty , high crime, the high black on black murder rate, it is far easier to turn a blind eye , and point the finger and shout RACISM !   

*SO WHAT IS THE ROOT CAUSE OF BLACK PROBLEMS IN AMERICA IF ITS NOT RACISM?*

The root cause is the break down of the black American family and the high number of fatherless children growing up in single parent homes. The governments own statistics reveal that children born into fatherless homes are more likely to drop out of school, more likely to have a history of unemployment, high chance of poverty,  and more likely to serve time in prison - the list goes on and on.

When we look at the fact that 70% of black children will grow up in a fatherless home compared to 24% of  white children we see a number that begins to explain WHY black poverty and black crime is so high amongst blacks in America with 70% of black mothers on welfare.

Complied with a dysfunctional gangster-rap culture that glorifies promiscuity, drug dealers the abuse of women and the power of the gun, we see a problem beginning to emerge and the reason for the deaths of Trayvon Martin and Michael Brown begin to come clear.

Black Americans, a 13% minority, are doing 54% of the dying and probably 54% of the killing. That needs to be said. So now we have black culture of violence financed by the welfare system. 

*CONCLUSION*

*Like i said - there WILL BE  another ""race based case"" sooner or latter - in fact it will NEVER end. As long as race mongers like Sharpton , CNN and MSNBC continue to promote the idea that its all about racism rather than the disintegration of the black American family another Ferguson is just around the corner !*",0,0,0,0
"How many shots to disable one man ? If the officer felt so threatened was there a call for backup ? How many shots before one man cannot continue to threaten another ? With the transcript of witness evidence released there seems to more questions unanswered than answered, I pray for all involved that they might find some peace from a terrible encounter. Amen ",0,0,0,0
"My thought of this ""waste of skin' catching his just  desert at 3300fps wouldn't make me a popular guy with  the ""no free people allowed"" party. But I don't live on the bookends of this country. The rest of you libshits' would do yourselves justice to know the MAJORITY of Real Americans despise you in every way. Know It and own it. Every day you continue to exist is because ying must have yang motherjumper!",1,0,1,0
"Wow, an a-hole that makes a CNN interviewer seem reasonable and balanced....",1,0,1,0
Never argue with an idiot ,1,0,0,0
"So ratchet!lol
",0,0,0,0
"STFU YOU MUSLIM PIECE OF SHIT!  the cops should have fired ten rounds into his ass.

or better still... lets cut his head off and pour pigs blood down his throat. I am willing to bet it was them dirty fckn Islamic bastards that set those fires and not even the blacks that did.",1,1,0,1
"I made a song addressing Ferguson and the issues today. Please listen and thank you

Tha Bigger Picture - SoundCloud
Listen to Tha Bigger Picture by Kool D #np on #SoundCloud
http://soundcloud.com/derek-savage-3/tha-bigger-picture",0,0,0,0
"Michael Smerconish is a little bitch. I like how he subtly tries to insult the guy and the guy laughs at him. This really shows how low CNN will stoop and what a garbage hole CNN has become.. And what a piece of ass sucking work Michael Smerconish is.  I guess it is no wonder why in my home we
DON'T WATCH CNN.  (CRAP NEWS NETWORK)",1,0,1,0
"NO THANKSGIVEN OR CHRISTMAS   for all the Owners of the Business that were Looted,stole from, Burned out for no good reason and NONE FOR YEARS TO COME,    These People did NOTHING except serve the same ones that Burned them out.     May God have mercy on you    I WOULD NOT.",0,0,0,0
The grand jury amd processor have too much power in the justice system amd connections with other police departments that's what I'm sayin honestly,0,0,0,0
"They are protecting and serving us, from people like Michael Brown. The guy deserved to be killed, cry more about it...",1,0,0,0
"If that cop shot a white guy, there would not be any riots. But since he shot a black guy, everyone seems to think it was because he was black. Look at the evidence not skin color. Everyone always throws out the race card over crap like this.",0,0,0,0
"I find it amusing how all of these protesters claim they're fighting against racism but yet they are blind to their own racism. There have been several reports of black people attacking white people. Just a couple of days ago, it was reported that a white man was beaten to death with a hammer by black teens in St. Louis. Yeah clearly no racial intent there. Fucking hypocrites. ",1,0,0,1
"EXCELLENT!! They'd (media-slaves) have us wait to speak out,,so this gets lost into the next tragedy.. there's a travesty happening here that's been going on since thee origins of USA. Nøbody is free. Thee illusion is real. & so is thee struggle. & we're experiencing the collision of this experiment. Psychological warfare through attrition. In typing that,,always be aware of baiting.. don't allow 'them' to create 'helter skelter' ",0,0,0,0
"Michael Brown, rob a store assaulted the store owner. Then fought with a police officer Darren Wilson in and through the police window went for the officer gun, then was shot and killed. Brown did not have a shirt saying I'm not armed. This is what happens when you do criminal activity, regardless of the color of your skin. A linch mob mentality should not get there way, or public pressure when all the facts support Browns activity of the day. Some wonder if Brown wanted death (suicide) by cop for his family could sue.",1,0,0,0
this fucking fuck can't even defend himself properly what a joke,1,0,1,0
Wow.. Think I'm going to buy a bullet proof vest..shit! if your black it's like everybody is tryin' to shoot you.!,1,0,0,0
If a black officer shot a white guy it would be fine by black people.  I'm not a racist. ,1,0,0,1
"This delusional moron's anger is ONLY justified if Mike was, indeed, unjustly killed. If, on the other hand, Mike was a malicious person, and the shooting was justified, then all the rioting is not justified. NO ONE can know what happened there that day, so any riots are taking place on the basis of assumptions. ",1,0,1,0
"OMG! IT'S A TERRORIST! AN ISIS UNDERCOVER-AGENT! What are you doing, Americans???? ARREST HIM!",1,0,0,1
Keep letting real people get in front of the camera... The truth will be told in its purest form.,0,0,0,0
criminal kids get shot by the police almost everyday. Plus Mike Brown has a bad criminal record and started the fight.,0,0,0,0
"The city is full of really, really, really dumb people.  Can't try to reason with them.",1,0,0,0
This is not your counties go back to he middle east that's your counties b,1,0,0,1
"people get shot everyday, how come this is the only one thats getting attention ",0,0,0,0
"Why is it that in the history of mankind where people of all color, creed and cultures have found a way to rise out of the ashes of oppression for their self betterment and self preservation, EXCEPT for the blacks??????????????! WHY? Please enlighten me to this unknown phenomena.",1,0,0,1
What a fucking douche bag,1,0,1,0
CNN needs to hire that man. He is a real American. We are in trouble. ,1,0,0,0
"One feral hoodlum put down, the rest of us no longer need to fear his thuggish behavior. Upset about that? Blame his parents- they failed to raise him right and provide proper supervision. Or, he was just defective from the start. Either way sounds like a case of quality control to me. Thank you Officer Wilson for doing your job.",1,0,0,1
The US government is killing its population!,1,0,0,0
FAKE!!...CNN IS BS,1,0,0,0
We need to get back to basics. When these savages riot or protest use the German Shepard's. then shoot these animals...,1,1,0,1
Why the hell are they even interviewing him? This guy's such an idiot.,1,0,0,0
"Oh my God. I fucking love that Arab guy. Such wise words. He is seriously someone who has open eyes to the world. He sees things for how they are, which is so rare in our world today. A big fucking amen to that guy... Wake the fuck up America",1,0,1,0
"Mr. Smerconish, you Sir, are not a journalist. NO journalists say or claim to the interview object that he/she is searching for 15mins of fame just for being a part of the interview. And/or just because he/she did not speak in the direction you wanted them to.
- If anything, it is you trying to DEFAME a person. And that is illegal! And you should definitively serve time for that! 
You should go back to school because it is truly obvious that you do not handle the word of mouth with care NOR are you critical enough of the Authorities!
Why would you wait for tons of paper that shows what we all know...That he INDEED ran, stopped, hands in the air and got shot, multiple times. There should be no doubt from your side that this happened if the witnesses says so. There should be, however, an investigative journalist who goes out and ask the people.

Your opinion is NOT superior! GET OFF YOUR CHAIR AND GO OUT AND DO SOME REAL REPORTING!  SHAME ON YOU!!! And SHAME ON CNN FOR NOT HIRING PROFESSIONALS!!",1,0,0,0
"That Arab is rapping 3:14
Go ahead bro....LOL
So getto he is",1,0,0,1
Isn't this the dude who got knocked out and had his phone stolen in Ferguson?,0,0,0,0
"Bassem Masri is an uneducated idiot. Just listen the words coming out of his mouth, he sounds like a stupid little kid. Sorry, but please grow the fuck up and learn the laws instead of repeating ""FREEDOM OF SPEECH"", ""I'M A CITIZEN"", ""GO AHEAD BRO, I'LL LISTEN TO YOU"".

Somebody shut this guy up.",1,0,1,0
"“Do White children deserve to have a future?
Tens of millions of non-Whites flooding into White countries every year will, in a few decades, mean that Whites will be a minority in every country they founded.
Black countries will remain majority Black, and Asian countries will remain majority Asian.
Only White countries will be affected by this. This is genocide under international law.
But anti-Whites don’t call it genocide; they call it diversity.
Diversity means chasing down every last White child.
Anti-racist is a codeword for anti-White.”",1,0,0,1
Bassem Masri well said bro!,0,0,0,0
"This guy an idiot, if that's the best you can do, you have lost already!!  WHAT A BOZO!!",1,0,0,0
he can go back where he's from period big mouth MORON,1,0,1,1
"Muslims like to spit on white people.
Brought in by Muslims or nggrs I still wait for my  big plasma cheap  tv looted in some shop.",1,0,0,1
Yep a Muslim bitch,1,0,0,1
Masri is unemployed,1,0,0,0
"wait if they are in an area that has a majority of African Americans, doesn't it make since that the majority of people pulled over and searched or arrested in that same area would be African American as well? ",0,0,0,0
"This video is liberal propaganda used to further divide people and fuel the chaos in Ferguson. Stay tuned for a trial with facts before deciding that ""evil white people"" are the source of all problems. And I mean straight up watch the trial, no fox news, CNN, or MSNBC. ",0,0,0,0
